,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
10088, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,14:05,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06München Hbf: Information. München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,23,13:06,20.06.19,Muenchen%238000261,59,ICE
10123, Grund: Verzögerung beim Ein-/Ausstieg,13:54,ICE 1221,Dortmund Hbf 06:35-Hagen Hbf 06:57-Wuppertal Hbf 07:14-Solingen Hbf 07:27-Köln Hbf 07:53-Bonn Hbf 08:14-Koblenz Hbf 08:48-Mainz Hbf 09:42-Frankfurt(M) Flughafen Fernbf 10:02-Frankfurt(Main)Hbf 10:21-Hanau Hbf 10:37-Würzburg Hbf 11:31-Nürnberg Hbf 12:27-Ingolstadt Hbf 13:01-München Hbf 13:38München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,15,13:38,20.06.19,Muenchen%238000261,16,ICE
10349, Grund: Verspätung aus vorheriger Fahrt,14:11,ICE 1124,München Hbf 13:51-Nürnberg Hbf 14:54-Würzburg Hbf 15:52-Aschaffenburg Hbf 16:32-Frankfurt(Main)Hbf 17:04-Frankfurt(M) Flughafen Fernbf 17:20-Limburg Süd 17:39-Montabaur 17:50-Siegburg/Bonn 18:10-Köln Messe/Deutz Gl.11-12 18:26-Düsseldorf Hbf 18:46-Duisburg Hbf 19:00-Essen Hbf 19:14-Bochum Hbf 19:28-Dortmund Hbf 19:42,8000261.0,dep,Dortmund Hbf,22,13:51,20.06.19,Muenchen%238000261,20,ICE
10662, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,14:16,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06München Hbf: Information. München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,23,13:06,20.06.19,Muenchen%238000261,70,ICE
11165, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,14:15,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06München Hbf: Information. München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,23,13:06,20.06.19,Muenchen%238000261,69,ICE
11307, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,14:14,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06München Hbf: Information. München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,23,13:06,20.06.19,Muenchen%238000261,68,ICE
11342, ,,ICE 1221,Dortmund Hbf 06:35-Hagen Hbf 06:57-Wuppertal Hbf 07:14-Solingen Hbf 07:27-Köln Hbf 07:53-Bonn Hbf 08:14-Koblenz Hbf 08:48-Mainz Hbf 09:42-Frankfurt(M) Flughafen Fernbf 10:02-Frankfurt(Main)Hbf 10:21-Hanau Hbf 10:37-Würzburg Hbf 11:31-Nürnberg Hbf 12:27-Ingolstadt Hbf 13:01-München Hbf 13:38,8000261.0,arr,Dortmund Hbf,15,13:38,20.06.19,Muenchen%238000261,0,ICE
11423, Grund: Verspätung aus vorheriger Fahrt,14:26,ICE 1124,München Hbf 13:51-Nürnberg Hbf 14:54-Würzburg Hbf 15:52-Aschaffenburg Hbf 16:32-Frankfurt(Main)Hbf 17:04-Frankfurt(M) Flughafen Fernbf 17:20-Limburg Süd 17:39-Montabaur 17:50-Siegburg/Bonn 18:10-Köln Messe/Deutz Gl.11-12 18:26-Düsseldorf Hbf 18:46-Duisburg Hbf 19:00-Essen Hbf 19:14-Bochum Hbf 19:28-Dortmund Hbf 19:42,8000261.0,dep,Dortmund Hbf,22,13:51,20.06.19,Muenchen%238000261,35,ICE
11428, ,,ICE706,München Hbf 13:55-Ingolstadt Hbf 14:30-Nürnberg Hbf 15:03-Bamberg 15:38-Erfurt Hbf 16:24-Bitterfeld 17:22-Berlin Südkreuz 18:17-Berlin Hbf (tief) 18:26-Berlin-Spandau 18:46-Hamburg Hbf 20:23-Hamburg Dammtor 20:29-Hamburg-Altona 20:38,8000261.0,dep,Hamburg-Altona,22,13:55,20.06.19,Muenchen%238000261,0,ICE
11589, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,14:13,ICE529,Dortmund Hbf 07:23-Bochum Hbf 07:37-Essen Hbf 07:53-Duisburg Hbf 08:07-Düsseldorf Hbf 08:21-Köln Messe/Deutz Gl.11-12 (Halt entfällt) 08:44-Köln Hbf08:49-Köln Messe/Deutz08:56-Frankfurt(M) Flughafen Fernbf 09:36-Frankfurt(Main)Hbf 09:54-Aschaffenburg Hbf 10:23-Würzburg Hbf 11:04-Nürnberg Hbf 12:02-München Hbf 13:06München Hbf: Information. München Hbf: Information. München Hbf: Information. Weitere Informationen,8000261.0,arr,Dortmund Hbf,23,13:06,20.06.19,Muenchen%238000261,67,ICE
