,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type,TP
6, ,,ICE553,Koblenz Hbf 05:45-Andernach 05:58-Bonn Hbf 06:23-Köln Hbf 06:48-Wuppertal Hbf 07:16-Hamm(Westf) 08:02-Bielefeld Hbf 08:34-Hannover Hbf 09:31-Berlin Hbf (tief) 11:05,8011160.0,arr,Koblenz Hbf,6Berlin Hbf (tief),11:05,20.06.19,Berlin%238011160,0,I,11
24, Grund: Technische Störung am Zug,11:57,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,35,I,11
25, ,11:22,IC 245,Amsterdam Centraal 05:02-Hilversum 05:25-Amersfoort 05:40-Apeldoorn 06:05-Deventer 06:17-Almelo 06:42-Hengelo 06:55-Bad Bentheim 07:21-Rheine 07:35-Ibbenbüren 07:48-Osnabrück Hbf 08:05-Bünde(Westf) 08:26-Bad Oeynhausen 08:39-Minden(Westf) 08:48-Hannover Hbf 09:22-Wolfsburg Hbf 09:54-Stendal 10:26-Berlin Hbf 11:22,8011160.0,arr,Amsterdam Centraal,12,11:22,20.06.19,Berlin%238011160,0,I,11
30, ,11:26,ICE998,Frankfurt(Main)Hbf 06:00-Fulda 06:55-Kassel-Wilhelmshöhe 07:44-Göttingen 08:06-Hildesheim Hbf 09:09-Braunschweig Hbf 09:32-Berlin Hbf 11:26,8011160.0,arr,Frankfurt(Main)Hbf,11,11:26,20.06.19,Berlin%238011160,0,I,11
33, Grund: Warten auf Fahrgäste aus einem anderen Zug,11:31,ICE602,München Hbf 06:57-Nürnberg Hbf 08:04-Erlangen 08:19-Bamberg 08:42-Erfurt Hbf 09:28-Leipzig Hbf 10:16-Lutherstadt Wittenberg Hbf 10:48-Berlin Südkreuz 11:24-Berlin Hbf (tief) 11:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),11:29,20.06.19,Berlin%238011160,2,I,11
57, ,11:51,ICE 1006,München Hbf 07:52-Nürnberg Hbf 08:58-Erfurt Hbf 10:11-Berlin Hbf (tief) 11:51Berlin Hbf (tief): Information. Weitere Informationen,8011160.0,arr,München Hbf,5Berlin Hbf (tief),11:51,20.06.19,Berlin%238011160,0,I,11
61, ,11:58,ICE874,Karlsruhe Hbf 05:58-Mannheim Hbf 06:32-Frankfurt(Main)Hbf 07:14-Hanau Hbf 07:30-Fulda 08:12-Kassel-Wilhelmshöhe 08:45-Göttingen 09:04-Hildesheim Hbf 10:06-Braunschweig Hbf 10:29-Wolfsburg Hbf 10:48-Berlin Hbf 11:58,8011160.0,arr,Karlsruhe Hbf,11,11:58,20.06.19,Berlin%238011160,0,I,11
69, ,,ICE 1632,Berlin Hbf (tief) 11:04-Erfurt Hbf 12:48-Frankfurt(Main)Hbf 14:56,8011160.0,dep,Frankfurt(Main)Hbf,2Berlin Hbf (tief),11:04,20.06.19,Berlin%238011160,0,I,11
93, Grund: Technische Störung am Zug,12:02,ICE599,Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:33-Bitterfeld 12:23-Leipzig Hbf 12:42-Erfurt Hbf 13:28-Eisenach 13:54-Fulda 14:48-Frankfurt(Main)Hbf 15:44-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8011160.0,dep,München Hbf,1Berlin Hbf (tief),11:28,20.06.19,Berlin%238011160,34,I,11
105, ,11:40,ICE602,Berlin Hbf (tief) 11:40-Berlin-Spandau 11:48-Hamburg Hbf 13:24-Hamburg Dammtor 13:31-Hamburg-Altona 13:39,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),11:40,20.06.19,Berlin%238011160,0,I,11
115, ,,ICE940,Berlin Hbf (tief) 11:49-Wolfsburg Hbf 12:52-Hannover Hbf 13:28-Bielefeld Hbf 14:24-Dortmund Hbf 15:10-Bochum Hbf 15:23-Essen Hbf 15:34-Duisburg Hbf 15:47-Düsseldorf Flughafen 15:57-Düsseldorf Hbf 16:06,8011160.0,dep,Düsseldorf Hbf,6Berlin Hbf (tief),11:49,20.06.19,Berlin%238011160,0,I,11
122, Grund: Verspätung aus vorheriger Fahrt,12:23,ICE373,Berlin Hbf 11:57-Wolfsburg Hbf 13:07-Braunschweig Hbf 13:25-Hildesheim Hbf 13:52-Göttingen 14:52-Kassel-Wilhelmshöhe 15:13-Fulda 15:45-Hanau Hbf 16:25-Frankfurt(Main)Hbf 16:44-Mannheim Hbf 17:27-Karlsruhe Hbf 17:58-Offenburg 18:28-Freiburg(Breisgau) Hbf 19:00-Basel Bad Bf 19:34-Basel SBB 19:47-Liestal 20:08-Olten 20:25-Bern 20:56-Thun 21:24-Spiez 21:35-Interlaken West 21:51-Interlaken Ost 21:57,8011160.0,dep,Interlaken Ost,13,11:57,20.06.19,Berlin%238011160,26,I,11
1032, Grund: Technische Störung am Zug,12:02,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,40,I,11
1101, Grund: Technische Störung am Zug,12:07,ICE599,Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:33-Bitterfeld 12:23-Leipzig Hbf 12:42-Erfurt Hbf 13:28-Eisenach 13:54-Fulda 14:48-Frankfurt(Main)Hbf 15:44-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8011160.0,dep,München Hbf,1Berlin Hbf (tief),11:28,20.06.19,Berlin%238011160,39,I,11
1354, ,,IC 245,Amsterdam Centraal 05:02-Hilversum 05:25-Amersfoort 05:40-Apeldoorn 06:05-Deventer 06:17-Almelo 06:42-Hengelo 06:55-Bad Bentheim 07:21-Rheine 07:35-Ibbenbüren 07:48-Osnabrück Hbf 08:05-Bünde(Westf) 08:26-Bad Oeynhausen 08:39-Minden(Westf) 08:48-Hannover Hbf 09:22-Wolfsburg Hbf 09:54-Stendal 10:26-Berlin Hbf 11:22,8011160.0,arr,Amsterdam Centraal,12,11:22,20.06.19,Berlin%238011160,0,I,11
1554, ,,ICE998,Frankfurt(Main)Hbf 06:00-Fulda 06:55-Kassel-Wilhelmshöhe 07:44-Göttingen 08:06-Hildesheim Hbf 09:09-Braunschweig Hbf 09:32-Berlin Hbf 11:26,8011160.0,arr,Frankfurt(Main)Hbf,11,11:26,20.06.19,Berlin%238011160,0,I,11
1557, ,11:29,ICE602,München Hbf 06:57-Nürnberg Hbf 08:04-Erlangen 08:19-Bamberg 08:42-Erfurt Hbf 09:28-Leipzig Hbf 10:16-Lutherstadt Wittenberg Hbf 10:48-Berlin Südkreuz 11:24-Berlin Hbf (tief) 11:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),11:29,20.06.19,Berlin%238011160,0,I,11
1622, ,,ICE602,München Hbf 06:57-Nürnberg Hbf 08:04-Erlangen 08:19-Bamberg 08:42-Erfurt Hbf 09:28-Leipzig Hbf 10:16-Lutherstadt Wittenberg Hbf 10:48-Berlin Südkreuz 11:24-Berlin Hbf (tief) 11:29,8011160.0,arr,München Hbf,7Berlin Hbf (tief),11:29,20.06.19,Berlin%238011160,0,I,11
1769, ,11:49,ICE940,Berlin Hbf (tief) 11:49-Wolfsburg Hbf 12:52-Hannover Hbf 13:28-Bielefeld Hbf 14:24-Dortmund Hbf 15:10-Bochum Hbf 15:23-Essen Hbf 15:34-Duisburg Hbf 15:47-Düsseldorf Flughafen 15:57-Düsseldorf Hbf 16:06,8011160.0,dep,Düsseldorf Hbf,6Berlin Hbf (tief),11:49,20.06.19,Berlin%238011160,0,I,11
1837, ,11:53,ICE 1006,München Hbf 07:52-Nürnberg Hbf 08:58-Erfurt Hbf 10:11-Berlin Hbf (tief) 11:51Berlin Hbf (tief): Information. Weitere Informationen,8011160.0,arr,München Hbf,5Berlin Hbf (tief),11:51,20.06.19,Berlin%238011160,2,I,11
3029, ,,ICE602,Berlin Hbf (tief) 11:40-Berlin-Spandau 11:48-Hamburg Hbf 13:24-Hamburg Dammtor 13:31-Hamburg-Altona 13:39,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),11:40,20.06.19,Berlin%238011160,0,I,11
3235, Grund: Technische Störung an einem anderen Zug,12:00,ICE874,Karlsruhe Hbf 05:58-Mannheim Hbf 06:32-Frankfurt(Main)Hbf 07:14-Hanau Hbf 07:30-Fulda 08:12-Kassel-Wilhelmshöhe 08:45-Göttingen 09:04-Hildesheim Hbf 10:06-Braunschweig Hbf 10:29-Wolfsburg Hbf 10:48-Berlin Hbf 11:58,8011160.0,arr,Karlsruhe Hbf,11,11:58,20.06.19,Berlin%238011160,2,I,11
3421, ,,ICE 1006,München Hbf 07:52-Nürnberg Hbf 08:58-Erfurt Hbf 10:11-Berlin Hbf (tief) 11:51Berlin Hbf (tief): Information. Weitere Informationen,8011160.0,arr,München Hbf,5Berlin Hbf (tief),11:51,20.06.19,Berlin%238011160,0,I,11
3514, Grund: Technische Störung am Zug,12:09,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,47,I,11
3677, ,,ICE874,Karlsruhe Hbf 05:58-Mannheim Hbf 06:32-Frankfurt(Main)Hbf 07:14-Hanau Hbf 07:30-Fulda 08:12-Kassel-Wilhelmshöhe 08:45-Göttingen 09:04-Hildesheim Hbf 10:06-Braunschweig Hbf 10:29-Wolfsburg Hbf 10:48-Berlin Hbf 11:58,8011160.0,arr,Karlsruhe Hbf,11,11:58,20.06.19,Berlin%238011160,0,I,11
3829, Grund: Technische Störung am Zug,12:08,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,46,I,11
3955, Grund: Technische Störung am Zug@@Gleiswechsel,12:10,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,2Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,48,I,11
4149, Grund: Technische Störung am Zug@@Gleiswechsel,12:15,ICE599,Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:33-Bitterfeld 12:23-Leipzig Hbf 12:42-Erfurt Hbf 13:28-Eisenach 13:54-Fulda 14:48-Frankfurt(Main)Hbf 15:44-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8011160.0,dep,München Hbf,2Berlin Hbf (tief),11:28,20.06.19,Berlin%238011160,47,I,11
4330, Grund: Technische Störung am Zug@@Gleiswechsel,12:12,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,2Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,50,I,11
4377, Grund: Technische Störung an der Strecke,12:11,IC2425,Ostseebad Binz 08:21-Bergen auf Rügen 08:42-Stralsund Hbf 09:12-Greifswald 09:36-Züssow 09:52-Anklam 10:08-Pasewalk 10:38-Prenzlau 10:53-Angermünde 11:18-Eberswalde Hbf 11:34-Berlin Hbf (tief) 12:06,8011160.0,arr,Ostseebad Binz,4Berlin Hbf (tief),12:06,20.06.19,Berlin%238011160,5,I,12
4382, Grund: Überholung,12:13,ICE845,Köln/Bonn Flughafen 07:12-Köln Messe/Deutz Gl.11-12 07:29-Düsseldorf Hbf 07:51-Düsseldorf Flughafen 07:59-Duisburg Hbf 08:09-Essen Hbf 08:23-Bochum Hbf 08:35-Dortmund Hbf 08:48-Bielefeld Hbf 09:34-Hannover Hbf 10:31-Wolfsburg Hbf 11:05-Berlin Hbf (tief) 12:10,8011160.0,arr,Köln/Bonn Flughafen,5Berlin Hbf (tief),12:10,20.06.19,Berlin%238011160,3,I,12
4394, Grund: Technische Störung am Zug,12:24,ICE705,Hamburg-Altona 10:19-Hamburg Dammtor 10:28-Hamburg Hbf 10:35-Berlin-Spandau 12:10-Berlin Hbf (tief) 12:20,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),12:20,20.06.19,Berlin%238011160,4,I,12
4397, ,12:24,ICE802,München Hbf 07:58-Nürnberg Hbf 09:05-Bamberg 09:42-Erfurt Hbf 10:32-Bitterfeld 11:24-Berlin Südkreuz 12:19-Berlin Hbf (tief) 12:24,8011160.0,arr,München Hbf,7Berlin Hbf (tief),12:24,20.06.19,Berlin%238011160,0,I,12
4403, Grund: Technische Störung am Zug,12:52,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,23,I,12
4427, ,12:52,IC2222,Aachen Hbf 07:07-Herzogenrath 07:23-Geilenkirchen 07:31-Rheydt Hbf 07:48-Mönchengladbach Hbf 07:55-Viersen 08:03-Krefeld Hbf 08:16-Duisburg Hbf 08:31-Oberhausen Hbf 08:39-Hannover Hbf 11:04-Wolfsburg Hbf 11:38-Berlin Hbf (tief) 12:52Berlin Hbf (tief): Information. Weitere Informationen,8011160.0,arr,Aachen Hbf,3Berlin Hbf (tief),12:52,20.06.19,Berlin%238011160,0,I,12
4430, ,12:55,ICE 1535,Saarbrücken Hbf 06:29-Homburg(Saar)Hbf 06:50-Kaiserslautern Hbf 07:14-Neustadt(Weinstr)Hbf 07:40-Mannheim Hbf 08:02-Bensheim 08:27-Darmstadt Hbf 08:40-Frankfurt(Main)Hbf 09:02-Erfurt Hbf 11:09-Berlin Hbf (tief) 12:55,8011160.0,arr,Saarbrücken Hbf,7Berlin Hbf (tief),12:55,20.06.19,Berlin%238011160,0,I,12
4442, ,,IC2425,Ostseebad Binz 08:21-Bergen auf Rügen 08:42-Stralsund Hbf 09:12-Greifswald 09:36-Züssow 09:52-Anklam 10:08-Pasewalk 10:38-Prenzlau 10:53-Angermünde 11:18-Eberswalde Hbf 11:34-Berlin Hbf (tief) 12:06,8011160.0,arr,Ostseebad Binz,4Berlin Hbf (tief),12:06,20.06.19,Berlin%238011160,0,I,12
4501, ,,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:22,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),11:22,20.06.19,Berlin%238011160,0,I,11
4512, Grund: Überholung,12:14,ICE845,Köln/Bonn Flughafen 07:12-Köln Messe/Deutz Gl.11-12 07:29-Düsseldorf Hbf 07:51-Düsseldorf Flughafen 07:59-Duisburg Hbf 08:09-Essen Hbf 08:23-Bochum Hbf 08:35-Dortmund Hbf 08:48-Bielefeld Hbf 09:34-Hannover Hbf 10:31-Wolfsburg Hbf 11:05-Berlin Hbf (tief) 12:10,8011160.0,arr,Köln/Bonn Flughafen,5Berlin Hbf (tief),12:10,20.06.19,Berlin%238011160,4,I,12
4533, Grund: Technische Störung am Zug,12:51,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,22,I,12
4642, Grund: Überholung,12:15,ICE845,Köln/Bonn Flughafen 07:12-Köln Messe/Deutz Gl.11-12 07:29-Düsseldorf Hbf 07:51-Düsseldorf Flughafen 07:59-Duisburg Hbf 08:09-Essen Hbf 08:23-Bochum Hbf 08:35-Dortmund Hbf 08:48-Bielefeld Hbf 09:34-Hannover Hbf 10:31-Wolfsburg Hbf 11:05-Berlin Hbf (tief) 12:10,8011160.0,arr,Köln/Bonn Flughafen,5Berlin Hbf (tief),12:10,20.06.19,Berlin%238011160,5,I,12
4707, ,,ICE845,Köln/Bonn Flughafen 07:12-Köln Messe/Deutz Gl.11-12 07:29-Düsseldorf Hbf 07:51-Düsseldorf Flughafen 07:59-Duisburg Hbf 08:09-Essen Hbf 08:23-Bochum Hbf 08:35-Dortmund Hbf 08:48-Bielefeld Hbf 09:34-Hannover Hbf 10:31-Wolfsburg Hbf 11:05-Berlin Hbf (tief) 12:10,8011160.0,arr,Köln/Bonn Flughafen,5Berlin Hbf (tief),12:10,20.06.19,Berlin%238011160,0,I,12
5044, Grund: Technische Störung am Zug,12:28,ICE705,Hamburg-Altona 10:19-Hamburg Dammtor 10:28-Hamburg Hbf 10:35-Berlin-Spandau 12:10-Berlin Hbf (tief) 12:20,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),12:20,20.06.19,Berlin%238011160,8,I,12
5216, ,,ICE599,Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:33-Bitterfeld 12:23-Leipzig Hbf 12:42-Erfurt Hbf 13:28-Eisenach 13:54-Fulda 14:48-Frankfurt(Main)Hbf 15:44-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8011160.0,dep,München Hbf,1Berlin Hbf (tief),11:28,20.06.19,Berlin%238011160,0,I,11
5217, Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,12:26,ICE373,Berlin Hbf 11:57-Wolfsburg Hbf 13:07-Braunschweig Hbf 13:25-Hildesheim Hbf 13:52-Göttingen 14:52-Kassel-Wilhelmshöhe 15:13-Fulda 15:45-Hanau Hbf 16:25-Frankfurt(Main)Hbf 16:44-Mannheim Hbf 17:27-Karlsruhe Hbf 17:58-Offenburg 18:28-Freiburg(Breisgau) Hbf 19:00-Basel Bad Bf 19:34-Basel SBB 19:47-Liestal 20:08-Olten 20:25-Bern 20:56-Thun 21:24-Spiez 21:35-Interlaken West 21:51-Interlaken Ost 21:57,8011160.0,dep,Interlaken Ost,14,11:57,20.06.19,Berlin%238011160,29,I,11
5221, ,,ICE 1005,Berlin Hbf (tief) 12:05-Erfurt Hbf 13:45-Nürnberg Hbf 14:56-München Hbf 16:02,8011160.0,dep,München Hbf,1Berlin Hbf (tief),12:05,20.06.19,Berlin%238011160,0,I,12
5246, ,12:30,ICE509,Berlin Hbf (tief) 12:30-Lutherstadt Wittenberg Hbf 13:10-Leipzig Hbf 13:42-Erfurt Hbf 14:28-Bamberg 15:15-Erlangen 15:35-Nürnberg Hbf 15:51-München Hbf 17:01,8011160.0,dep,München Hbf,2Berlin Hbf (tief),12:30,20.06.19,Berlin%238011160,0,I,12
5252, ,12:34,IC 144,Berlin Hbf 12:34-Stendal 13:31-Wolfsburg Hbf 14:00-Hannover Hbf 14:36-Minden(Westf) 15:10-Bad Oeynhausen 15:20-Osnabrück Hbf 15:51-Rheine 16:19-Bad Bentheim 16:34-Hengelo 17:01-Almelo 17:14-Deventer 17:41-Apeldoorn 17:58-Amersfoort 18:24-Hilversum 18:38-Amsterdam Centraal 19:00,8011160.0,dep,Amsterdam Centraal,14,12:34,20.06.19,Berlin%238011160,0,I,12
5258, ,12:38,ICE802,Berlin Hbf (tief) 12:38-Berlin-Spandau 12:46-Hamburg Hbf 14:21-Hamburg Dammtor 14:29-Hamburg-Altona 14:38,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),12:38,20.06.19,Berlin%238011160,0,I,12
5269, ,12:50,ICE558,Berlin Hbf (tief) 12:50-Hannover Hbf 14:28-Bielefeld Hbf 15:24-Hamm(Westf) 15:54-Wuppertal Hbf 16:38-Köln Hbf 17:09,8011160.0,dep,Köln Hbf,5Berlin Hbf (tief),12:50,20.06.19,Berlin%238011160,0,I,12
5306, ,,ICE802,München Hbf 07:58-Nürnberg Hbf 09:05-Bamberg 09:42-Erfurt Hbf 10:32-Bitterfeld 11:24-Berlin Südkreuz 12:19-Berlin Hbf (tief) 12:24,8011160.0,arr,München Hbf,7Berlin Hbf (tief),12:24,20.06.19,Berlin%238011160,0,I,12
5312, Grund: Technische Störung am Zug,12:53,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,24,I,12
5368, Grund: Technische Störung am Zug,12:29,ICE705,Hamburg-Altona 10:19-Hamburg Dammtor 10:28-Hamburg Hbf 10:35-Berlin-Spandau 12:10-Berlin Hbf (tief) 12:20,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),12:20,20.06.19,Berlin%238011160,9,I,12
5436, ,12:31,ICE802,München Hbf 07:58-Nürnberg Hbf 09:05-Bamberg 09:42-Erfurt Hbf 10:32-Bitterfeld 11:24-Berlin Südkreuz 12:19-Berlin Hbf (tief) 12:24,8011160.0,arr,München Hbf,7Berlin Hbf (tief),12:24,20.06.19,Berlin%238011160,7,I,12
5498, ,,ICE705,Hamburg-Altona 10:19-Hamburg Dammtor 10:28-Hamburg Hbf 10:35-Berlin-Spandau 12:10-Berlin Hbf (tief) 12:20,8011160.0,arr,Hamburg-Altona,1Berlin Hbf (tief),12:20,20.06.19,Berlin%238011160,0,I,12
5572, Grund: Technische Störung am Zug,12:54,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,25,I,12
5599, ,12:57,ICE 1535,Saarbrücken Hbf 06:29-Homburg(Saar)Hbf 06:50-Kaiserslautern Hbf 07:14-Neustadt(Weinstr)Hbf 07:40-Mannheim Hbf 08:02-Bensheim 08:27-Darmstadt Hbf 08:40-Frankfurt(Main)Hbf 09:02-Erfurt Hbf 11:09-Berlin Hbf (tief) 12:55,8011160.0,arr,Saarbrücken Hbf,7Berlin Hbf (tief),12:55,20.06.19,Berlin%238011160,2,I,12
5794, ,12:58,ICE 1535,Saarbrücken Hbf 06:29-Homburg(Saar)Hbf 06:50-Kaiserslautern Hbf 07:14-Neustadt(Weinstr)Hbf 07:40-Mannheim Hbf 08:02-Bensheim 08:27-Darmstadt Hbf 08:40-Frankfurt(Main)Hbf 09:02-Erfurt Hbf 11:09-Berlin Hbf (tief) 12:55,8011160.0,arr,Saarbrücken Hbf,7Berlin Hbf (tief),12:55,20.06.19,Berlin%238011160,3,I,12
6184, ,12:59,ICE 1535,Saarbrücken Hbf 06:29-Homburg(Saar)Hbf 06:50-Kaiserslautern Hbf 07:14-Neustadt(Weinstr)Hbf 07:40-Mannheim Hbf 08:02-Bensheim 08:27-Darmstadt Hbf 08:40-Frankfurt(Main)Hbf 09:02-Erfurt Hbf 11:09-Berlin Hbf (tief) 12:55,8011160.0,arr,Saarbrücken Hbf,7Berlin Hbf (tief),12:55,20.06.19,Berlin%238011160,4,I,12
6222, Grund: Technische Störung am Zug,12:55,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,26,I,12
6321, ,,ICE373,Berlin Hbf 11:57-Wolfsburg Hbf 13:07-Braunschweig Hbf 13:25-Hildesheim Hbf 13:52-Göttingen 14:52-Kassel-Wilhelmshöhe 15:13-Fulda 15:45-Hanau Hbf 16:25-Frankfurt(Main)Hbf 16:44-Mannheim Hbf 17:27-Karlsruhe Hbf 17:58-Offenburg 18:28-Freiburg(Breisgau) Hbf 19:00-Basel Bad Bf 19:34-Basel SBB 19:47-Liestal 20:08-Olten 20:25-Bern 20:56-Thun 21:24-Spiez 21:35-Interlaken West 21:51-Interlaken Ost 21:57,8011160.0,dep,Interlaken Ost,13,11:57,20.06.19,Berlin%238011160,0,I,11
6350, ,,ICE509,Berlin Hbf (tief) 12:30-Lutherstadt Wittenberg Hbf 13:10-Leipzig Hbf 13:42-Erfurt Hbf 14:28-Bamberg 15:15-Erlangen 15:35-Nürnberg Hbf 15:51-München Hbf 17:01,8011160.0,dep,München Hbf,2Berlin Hbf (tief),12:30,20.06.19,Berlin%238011160,0,I,12
6356, ,,IC 144,Berlin Hbf 12:34-Stendal 13:31-Wolfsburg Hbf 14:00-Hannover Hbf 14:36-Minden(Westf) 15:10-Bad Oeynhausen 15:20-Osnabrück Hbf 15:51-Rheine 16:19-Bad Bentheim 16:34-Hengelo 17:01-Almelo 17:14-Deventer 17:41-Apeldoorn 17:58-Amersfoort 18:24-Hilversum 18:38-Amsterdam Centraal 19:00,8011160.0,dep,Amsterdam Centraal,14,12:34,20.06.19,Berlin%238011160,0,I,12
6362, ,,ICE802,Berlin Hbf (tief) 12:38-Berlin-Spandau 12:46-Hamburg Hbf 14:21-Hamburg Dammtor 14:29-Hamburg-Altona 14:38,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),12:38,20.06.19,Berlin%238011160,0,I,12
6373, ,12:52,ICE558,Berlin Hbf (tief) 12:50-Hannover Hbf 14:28-Bielefeld Hbf 15:24-Hamm(Westf) 15:54-Wuppertal Hbf 16:38-Köln Hbf 17:09,8011160.0,dep,Köln Hbf,5Berlin Hbf (tief),12:50,20.06.19,Berlin%238011160,2,I,12
6481, Grund: Technische Störung am Zug,12:56,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,27,I,12
6871, Grund: Technische Störung am Zug,12:57,ICE694,Stuttgart Hbf 06:51-Mannheim Hbf 07:32-Frankfurt(Main)Hbf 08:14-Fulda 09:09-Eisenach 10:02-Erfurt Hbf 10:28-Leipzig Hbf 11:16-Lutherstadt Wittenberg Hbf 11:48-Berlin Hbf (tief) 12:29,8011160.0,arr,Stuttgart Hbf,6Berlin Hbf (tief),12:29,20.06.19,Berlin%238011160,28,I,12
