 Fährt heute nur bis Bantorf@@Grund: Verspätung eines vorausfahrenden Zuges,20
 Fährt heute nur bis Frankfurt-Rödelheim@@Grund: Personen im Gleis,1
 Fährt heute nur bis Wolfsburg Hbf@@Grund: Notarzteinsatz am Gleis,3
 Gleiswechsel,827
 Grund: Außerplanmäßige Geschwindigkeitsbeschränkung,9
 Grund: Außerplanmäßige Geschwindigkeitsbeschränkung@@Gleiswechsel,1
 Grund: Bauarbeiten,180
 Grund: Bauarbeiten@@Gleiswechsel,5
 Grund: Behobene technische Störung am Zug,37
 Grund: Betätigen der Notbremse,7
 Grund: Betätigen der Notbremse@@Gleiswechsel,5
 Grund: Feuerwehreinsatz an der Strecke,14
 Grund: Feuerwehreinsatz an der Strecke@@Gleiswechsel,1
 Grund: Notarzteinsatz am Gleis,95
 Grund: Notarzteinsatz am Gleis@@Gleiswechsel,14
 Grund: Oberleitungsstörung,31
 Grund: Oberleitungsstörung@@Gleiswechsel,1
 Grund: Personen im Gleis,401
 Grund: Personen im Gleis@@Gleiswechsel,17
 Grund: Polizeiliche Ermittlung,291
 Grund: Polizeiliche Ermittlung@@Gleiswechsel,6
 Grund: Signalstörung,244
 Grund: Signalstörung@@Gleiswechsel,41
 Grund: Stellwerksstörung /-ausfall,20
 Grund: Streckensperrung,2
 Grund: Störung an einem Bahnübergang,146
 Grund: Störung an einem Bahnübergang@@Gleiswechsel,12
 Grund: Technische Störung am Bahnhof,16
 Grund: Technische Störung am Zug,377
 Grund: Technische Störung am Zug@@Gleiswechsel,59
 Grund: Technische Störung an der Strecke,131
 Grund: Technische Störung an der Strecke@@Gleiswechsel,8
 Grund: Technische Störung an einem anderen Zug,74
 Grund: Technische Störung an einem anderen Zug@@Gleiswechsel,64
 Grund: Technische Störung an einem anderen Zug@@Grund: Verspätung aus vorheriger Fahrt,20
 Grund: Technische Störung an einem anderen Zug@@Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,2
 Grund: Technische Untersuchung am Zug,6
 Grund: Türstörung,19
 Grund: Umgestürzter Baum im Gleis,27
 Grund: Verspätete Bereitstellung des Zuges,83
 Grund: Verspätete Bereitstellung des Zuges@@Gleiswechsel,3
 Grund: Verspätung aus vorheriger Fahrt,752
 Grund: Verspätung aus vorheriger Fahrt@@Gleiswechsel,31
 Grund: Verspätung eines vorausfahrenden Zuges,2453
 Grund: Verspätung eines vorausfahrenden Zuges@@Gleiswechsel,85
 Grund: Verspätung im Ausland,217
 Grund: Verspätung im Ausland@@Gleiswechsel,22
 Grund: Verzögerung beim Ein-/Ausstieg,428
 Grund: Verzögerung beim Ein-/Ausstieg@@Gleiswechsel,1
 Grund: Verzögerungen im Betriebsablauf,458
 Grund: Verzögerungen im Betriebsablauf@@Gleiswechsel,37
 Grund: Warten auf Fahrgäste aus einem Bus,3
 Grund: Warten auf Fahrgäste aus einem Bus@@Gleiswechsel,1
