,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
15103, ,15:48,ICE721,Essen Hbf 13:54-Duisburg Hbf 14:07-Düsseldorf Hbf 14:21-Köln Messe/Deutz Gl.11-12 14:44-Frankfurt(M) Flughafen Fernbf 15:36-Frankfurt(Main)Hbf 15:48,8000105.0,arr,Essen Hbf,7,15:48,20.06.19,Frankfurt%238000105,0,ICE
15108, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,16:30,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:52,8000105.0,arr,Chur,8,15:52,20.06.19,Frankfurt%238000105,38,ICE
15116, Grund: Außerplanmäßige Geschwindigkeitsbeschränkung,16:03,ICE 77,Hamburg-Altona 11:46-Hamburg Dammtor 11:54-Hamburg Hbf 12:01-Hamburg-Harburg 12:12-Hannover Hbf 13:24-Göttingen 14:18-Kassel-Wilhelmshöhe 14:39-Frankfurt(Main)Hbf 16:00,8000105.0,arr,Hamburg-Altona,6,16:00,20.06.19,Frankfurt%238000105,3,ICE
15186, Grund: Außerplanmäßige Geschwindigkeitsbeschränkung,16:02,ICE 77,Hamburg-Altona 11:46-Hamburg Dammtor 11:54-Hamburg Hbf 12:01-Hamburg-Harburg 12:12-Hannover Hbf 13:24-Göttingen 14:18-Kassel-Wilhelmshöhe 14:39-Frankfurt(Main)Hbf 16:00,8000105.0,arr,Hamburg-Altona,6,16:00,20.06.19,Frankfurt%238000105,2,ICE
15304, Grund: Technische Störung am Zug,16:36,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:44,8000105.0,arr,Hamburg-Altona,9,15:44,20.06.19,Frankfurt%238000105,52,ICE
15447, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,16:29,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:52,8000105.0,arr,Chur,8,15:52,20.06.19,Frankfurt%238000105,37,ICE
15565, Grund: Verspätung im Ausland,15:38,ICE 28,Wien Hbf 09:15-Wien Meidling 09:22-St.Pölten Hbf 09:46-Linz Hbf 10:36-Passau Hbf 11:34-Plattling 12:01-Regensburg Hbf 12:32-Nürnberg Hbf 13:30-Würzburg Hbf 14:24-Hanau Hbf 15:18-Frankfurt(Main)Hbf 15:36,8000105.0,arr,Wien Hbf,4,15:36,20.06.19,Frankfurt%238000105,2,ICE
15625, ,,ICE211,Bruxelles Midi 12:25-Bruxelles-Nord 12:34-Liège-Guillemins 13:14-Aachen Hbf 13:39-Köln Hbf 14:28-Frankfurt(M) Flughafen Fernbf 15:18-Frankfurt(Main)Hbf 15:31,8000105.0,arr,Bruxelles Midi,18,15:31,20.06.19,Frankfurt%238000105,0,ICE
15662, ,,ICE 1631,Frankfurt(Main)Hbf 15:02-Erfurt Hbf 17:07-Berlin Südkreuz 18:51-Berlin Hbf (tief) 18:58-Berlin Gesundbrunnen 19:10,8000105.0,dep,Berlin Gesundbrunnen,13,15:02,20.06.19,Frankfurt%238000105,0,ICE
15674, ,,ICE628,Frankfurt(Main)Hbf 15:10-Frankfurt(M) Flughafen Fernbf 15:22-Köln Messe/Deutz Gl.11-12 16:14-Düsseldorf Hbf 16:39-Duisburg Hbf 16:52-Essen Hbf 17:06,8000105.0,dep,Essen Hbf,7,15:10,20.06.19,Frankfurt%238000105,0,ICE
15679, ,,ICE278,Frankfurt(Main)Hbf 15:14-Hanau Hbf 15:28-Fulda 16:10-Kassel-Wilhelmshöhe 16:43-Göttingen 17:02-Hildesheim Hbf 17:58-Braunschweig Hbf 18:27-Wolfsburg Hbf 18:46-Berlin-Spandau 19:42-Berlin Hbf 19:59-Berlin Ostbahnhof 20:11,8000105.0,dep,Berlin Ostbahnhof,8,15:14,20.06.19,Frankfurt%238000105,0,ICE
15680, ,,ICE816,Frankfurt(Main)Hbf 15:16-Frankfurt(M) Flughafen Fernbf 15:29-Limburg Süd 15:48-Montabaur 15:59-Siegburg/Bonn 16:19-Köln Hbf 16:39,8000105.0,dep,Köln Hbf,19,15:16,20.06.19,Frankfurt%238000105,0,ICE
15684, ,,ICE 1653,Frankfurt(Main)Hbf 15:20-Fulda 16:12-Bad Hersfeld 16:39-Eisenach 17:07-Gotha 17:21-Erfurt Hbf 17:38-Leipzig Hbf 18:24-Riesa 19:01-Dresden-Neustadt 19:33-Dresden Hbf 19:39,8000105.0,dep,Dresden Hbf,9,15:20,20.06.19,Frankfurt%238000105,0,ICE
15709, Grund: Technische Störung am Zug,16:42,ICE599,Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8000105.0,dep,München Hbf,9,15:50,20.06.19,Frankfurt%238000105,52,ICE
15715, ,15:56,ICE721,Frankfurt(Main)Hbf 15:54-Aschaffenburg Hbf 16:22-Würzburg Hbf 17:01-Nürnberg Hbf 17:59-Ingolstadt Hbf 18:32-München Hbf 19:11,8000105.0,dep,München Hbf,7,15:54,20.06.19,Frankfurt%238000105,2,ICE
15718, Grund: Verzögerungen im Betriebsablauf,16:36,ICE 72,Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:19-Göttingen 17:39-Hannover Hbf 18:34-Hamburg-Harburg 19:42-Hamburg Hbf 19:54-Hamburg Dammtor 20:01-Hamburg-Altona 20:10,8000105.0,dep,Hamburg-Altona,8,15:58,20.06.19,Frankfurt%238000105,38,ICE
15830, Grund: Verspätung im Ausland,15:39,ICE 28,Wien Hbf 09:15-Wien Meidling 09:22-St.Pölten Hbf 09:46-Linz Hbf 10:36-Passau Hbf 11:34-Plattling 12:01-Regensburg Hbf 12:32-Nürnberg Hbf 13:30-Würzburg Hbf 14:24-Hanau Hbf 15:18-Frankfurt(Main)Hbf 15:36,8000105.0,arr,Wien Hbf,4,15:36,20.06.19,Frankfurt%238000105,3,ICE
15846, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,16:31,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:52,8000105.0,arr,Chur,8,15:52,20.06.19,Frankfurt%238000105,39,ICE
15962, ,,ICE 28,Wien Hbf 09:15-Wien Meidling 09:22-St.Pölten Hbf 09:46-Linz Hbf 10:36-Passau Hbf 11:34-Plattling 12:01-Regensburg Hbf 12:32-Nürnberg Hbf 13:30-Würzburg Hbf 14:24-Hanau Hbf 15:18-Frankfurt(Main)Hbf 15:36,8000105.0,arr,Wien Hbf,4,15:36,20.06.19,Frankfurt%238000105,0,ICE
16237, ,15:50,ICE721,Essen Hbf 13:54-Duisburg Hbf 14:07-Düsseldorf Hbf 14:21-Köln Messe/Deutz Gl.11-12 14:44-Frankfurt(M) Flughafen Fernbf 15:36-Frankfurt(Main)Hbf 15:48,8000105.0,arr,Essen Hbf,7,15:48,20.06.19,Frankfurt%238000105,2,ICE
16367, ,,ICE721,Essen Hbf 13:54-Duisburg Hbf 14:07-Düsseldorf Hbf 14:21-Köln Messe/Deutz Gl.11-12 14:44-Frankfurt(M) Flughafen Fernbf 15:36-Frankfurt(Main)Hbf 15:48,8000105.0,arr,Essen Hbf,7,15:48,20.06.19,Frankfurt%238000105,0,ICE
16558, Grund: Technische Störung am Zug,16:34,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:44,8000105.0,arr,Hamburg-Altona,9,15:44,20.06.19,Frankfurt%238000105,50,ICE
16626, Grund: Technische Störung am Zug,16:41,ICE599,Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8000105.0,dep,München Hbf,9,15:50,20.06.19,Frankfurt%238000105,51,ICE
16635, Grund: Verzögerungen im Betriebsablauf,16:38,ICE 72,Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:19-Göttingen 17:39-Hannover Hbf 18:34-Hamburg-Harburg 19:42-Hamburg Hbf 19:54-Hamburg Dammtor 20:01-Hamburg-Altona 20:10,8000105.0,dep,Hamburg-Altona,8,15:58,20.06.19,Frankfurt%238000105,40,ICE
16759, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,16:28,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:52,8000105.0,arr,Chur,8,15:52,20.06.19,Frankfurt%238000105,36,ICE
16954, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,16:27,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:52,8000105.0,arr,Chur,8,15:52,20.06.19,Frankfurt%238000105,35,ICE
16962, ,,ICE 77,Hamburg-Altona 11:46-Hamburg Dammtor 11:54-Hamburg Hbf 12:01-Hamburg-Harburg 12:12-Hannover Hbf 13:24-Göttingen 14:18-Kassel-Wilhelmshöhe 14:39-Frankfurt(Main)Hbf 16:00,8000105.0,arr,Hamburg-Altona,6,16:00,20.06.19,Frankfurt%238000105,0,ICE
17140, Grund: Technische Störung am Zug,16:38,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:44,8000105.0,arr,Hamburg-Altona,9,15:44,20.06.19,Frankfurt%238000105,54,ICE
17270, Grund: Technische Störung am Zug,16:37,ICE599,Hamburg-Altona 09:21-Hamburg Dammtor 09:29-Hamburg Hbf 09:36-Berlin-Spandau 11:12-Berlin Hbf (tief) 11:28-Berlin Südkreuz 11:35-Bitterfeld 12:25-Leipzig Hbf 12:48-Erfurt Hbf 13:30-Eisenach 13:56-Fulda 14:50-Frankfurt(Main)Hbf 15:44,8000105.0,arr,Hamburg-Altona,9,15:44,20.06.19,Frankfurt%238000105,53,ICE
17468, Grund: Technische Störung am Zug,16:43,ICE599,Frankfurt(Main)Hbf 15:50-Mannheim Hbf 16:27-Stuttgart Hbf 17:08-Ulm Hbf 18:10-Augsburg Hbf 18:53-München-Pasing 19:18-München Hbf 19:27,8000105.0,dep,München Hbf,9,15:50,20.06.19,Frankfurt%238000105,53,ICE
17474, ,,ICE721,Frankfurt(Main)Hbf 15:54-Aschaffenburg Hbf 16:22-Würzburg Hbf 17:01-Nürnberg Hbf 17:59-Ingolstadt Hbf 18:32-München Hbf 19:11,8000105.0,dep,München Hbf,7,15:54,20.06.19,Frankfurt%238000105,0,ICE
17477, Grund: Verzögerungen im Betriebsablauf,16:37,ICE 72,Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:19-Göttingen 17:39-Hannover Hbf 18:34-Hamburg-Harburg 19:42-Hamburg Hbf 19:54-Hamburg Dammtor 20:01-Hamburg-Altona 20:10,8000105.0,dep,Hamburg-Altona,8,15:58,20.06.19,Frankfurt%238000105,39,ICE
17489, ,,ICE626,München Hbf 12:50-Nürnberg Hbf 14:00-Würzburg Hbf 14:55-Aschaffenburg Hbf 15:33-Frankfurt(Main)Hbf 16:04,8000105.0,arr,München Hbf,7,16:04,20.06.19,Frankfurt%238000105,0,ICE
17493, ,,ICE596,München Hbf 12:28-München-Pasing 12:37-Augsburg Hbf 13:02-Ulm Hbf 13:49-Stuttgart Hbf 14:51-Mannheim Hbf 15:32-Frankfurt(Main)Hbf 16:08,8000105.0,arr,München Hbf,8,16:08,20.06.19,Frankfurt%238000105,0,ICE
17496, ,,ICE925,Hamburg-Altona 09:30-Hamburg Dammtor 09:38-Hamburg Hbf 09:46-Hamburg-Harburg 09:57-Bremen Hbf 10:44-Osnabrück Hbf 11:37-Münster(Westf)Hbf 12:02-Hamm(Westf) 12:22-Hagen Hbf 12:57-Wuppertal Hbf 13:14-Solingen Hbf 13:28-Köln Hbf 13:53-Bonn Hbf 14:14-Koblenz Hbf 14:48-Mainz Hbf 15:42-Frankfurt(M) Flughafen Fernbf 16:02-Frankfurt(Main)Hbf 16:13,8000105.0,arr,Hamburg-Altona,9,16:13,20.06.19,Frankfurt%238000105,0,ICE
17509, ,16:26,ICE817,Köln Hbf 14:58-Siegburg/Bonn 15:16-Montabaur 15:36-Limburg Süd 15:52-Frankfurt(M) Flughafen Fernbf 16:14-Frankfurt(Main)Hbf 16:26,8000105.0,arr,Köln Hbf,17,16:26,20.06.19,Frankfurt%238000105,0,ICE
17516, Grund: Verspätung eines vorausfahrenden Zuges,16:34,ICE125,Amsterdam Centraal 12:38-Utrecht Centraal 13:07-Arnhem Centraal 13:37-Oberhausen Hbf 14:26-Duisburg Hbf 14:34-Düsseldorf Hbf 14:50-Köln Hbf 15:29-Frankfurt(M) Flughafen Fernbf 16:20-Frankfurt(Main)Hbf 16:31,8000105.0,arr,Amsterdam Centraal,18,16:31,20.06.19,Frankfurt%238000105,3,ICE
17520, ,16:39,ICE 1558,Dresden Hbf 12:10-Dresden-Neustadt 12:16-Riesa 12:48-Leipzig Hbf 13:33-Erfurt Hbf 14:17-Gotha 14:33-Eisenach 14:48-Bad Hersfeld 15:16-Fulda 15:43-Frankfurt(Main)Hbf 16:36,8000105.0,arr,Dresden Hbf,6,16:36,20.06.19,Frankfurt%238000105,3,ICE
17527, Grund: Verspätung aus vorheriger Fahrt,16:45,ICE373,Berlin Ostbahnhof 11:46-Berlin Hbf 11:57-Berlin-Spandau 12:12-Wolfsburg Hbf 13:09-Braunschweig Hbf 13:27-Hildesheim Hbf 13:54-Göttingen 14:54-Kassel-Wilhelmshöhe 15:15-Fulda 15:47-Hanau Hbf 16:27-Frankfurt(Main)Hbf 16:44,8000105.0,arr,Berlin Ostbahnhof,9,16:44,20.06.19,Frankfurt%238000105,1,ICE
17531, ,16:48,ICE723,Essen Hbf 14:40-Duisburg Hbf 14:55-Düsseldorf Hbf 15:13-Köln Messe/Deutz Gl.11-12 15:36-Siegburg/Bonn 15:52-Frankfurt(M) Flughafen Fernbf 16:36-Frankfurt(Main)Hbf 16:48,8000105.0,arr,Essen Hbf,7,16:48,20.06.19,Frankfurt%238000105,0,ICE
17538, Änderung im Fahrtverlauf!@@Ersatzfahrt für ICE  974@@Grund: Verspätung aus vorheriger Fahrt,17:38,ICE 2910,Stuttgart Hbf 15:24-Mannheim Hbf 16:05-Frankfurt(M) Flughafen Fernbf (Halt entfällt) 16:42-Frankfurt(Main)Hbf 16:52,8000105.0,arr,Stuttgart Hbf,8,16:52,20.06.19,Frankfurt%238000105,46,ICE
17540, Grund: Signalstörung,17:06,ICE 1630,Berlin Gesundbrunnen 12:54-Berlin Hbf (tief) 13:04-Berlin Südkreuz 13:11-Erfurt Hbf 14:50-Frankfurt(Main)Hbf 16:56,8000105.0,arr,Berlin Gesundbrunnen,10,16:56,20.06.19,Frankfurt%238000105,10,ICE
17544, ,17:00,ICE 9553,Paris Est 13:10-Saarbrücken Hbf 14:59-Kaiserslautern Hbf 15:37-Mannheim Hbf 16:19-Frankfurt(Main)Hbf 16:58,8000105.0,arr,Paris Est,18,16:58,20.06.19,Frankfurt%238000105,2,ICE
17545, Grund: Verspätung eines vorausfahrenden Zuges,17:23,ICE579,Hamburg-Altona 12:46-Hamburg Dammtor 12:54-Hamburg Hbf 13:01-Hamburg-Harburg 13:12-Hannover Hbf 14:24-Göttingen 15:18-Kassel-Wilhelmshöhe 15:39-Frankfurt(Main)Hbf 17:00,8000105.0,arr,Hamburg-Altona,6,17:00,20.06.19,Frankfurt%238000105,23,ICE
17575, Gleiswechsel,16:26,ICE817,Köln Hbf 14:58-Siegburg/Bonn 15:16-Montabaur 15:36-Limburg Süd 15:52-Frankfurt(M) Flughafen Fernbf 16:14-Frankfurt(Main)Hbf 16:26,8000105.0,arr,Köln Hbf,20,16:26,20.06.19,Frankfurt%238000105,0,ICE
