,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
16692, Grund: Technische Störung am Zug,18:08,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:54,8000152.0,arr,München Hbf,8,17:54,20.06.19,Hannover%238000152,14,ICE
16695, ,17:57,ICE 1723,Hamburg-Altona 16:12-Hamburg Dammtor 16:21-Hamburg Hbf 16:28-Hamburg-Harburg 16:39-Lüneburg 16:59-Uelzen 17:15-Celle 17:38-Hannover Hbf 17:57Celle - Hannover Hbf: Information. Weitere Informationen,8000152.0,arr,Hamburg-Altona,4,17:57,20.06.19,Hannover%238000152,0,ICE
16697, Grund: Notarzteinsatz am Gleis,17:38,ICE 74,Zürich HB 10:00-Basel SBB 11:06-Basel Bad Bf 11:15-Freiburg(Breisgau) Hbf 11:48-Baden-Baden 12:33-Karlsruhe Hbf 12:51-Mannheim Hbf 13:16-Frankfurt(Main)Hbf 13:58-Kassel-Wilhelmshöhe 15:21-Göttingen 15:41-Hannover Hbf 16:34,8000152.0,arr,Zürich HB,8,16:34,20.06.19,Hannover%238000152,64,ICE
16712, ,17:24,ICE 1171,Kiel Hbf 14:39-Neumünster 14:57-Hamburg Dammtor 15:46-Hamburg Hbf 16:01-Hamburg-Harburg 16:12-Hannover Hbf 17:21,8000152.0,arr,Kiel Hbf,4,17:21,20.06.19,Hannover%238000152,3,ICE
16774, Grund: Technische Störung am Zug,18:07,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:54,8000152.0,arr,München Hbf,8,17:54,20.06.19,Hannover%238000152,13,ICE
16821, Grund: Notarzteinsatz am Gleis,17:43,ICE 74,Hannover Hbf 16:37-Hamburg-Harburg 17:41-Hamburg Hbf 17:53-Hamburg Dammtor 18:00-Neumünster 18:56-Kiel Hbf 19:16,8000152.0,dep,Kiel Hbf,8,16:37,20.06.19,Hannover%238000152,66,ICE
16823, ,,ICE788,Hannover Hbf 16:59-Celle 17:18-Uelzen 17:40-Lüneburg 17:56-Hamburg-Harburg 18:17-Hamburg Hbf 18:29-Hamburg Dammtor 18:35-Hamburg-Altona 18:45,8000152.0,dep,Hamburg-Altona,8,16:59,20.06.19,Hannover%238000152,0,ICE
16825, ,,ICE883,Hannover Hbf 17:02-Göttingen 18:00-Kassel-Wilhelmshöhe 18:21-Fulda 18:54-Würzburg Hbf 19:29-Nürnberg Hbf 20:24-Ingolstadt Hbf 20:58-München Hbf 21:41,8000152.0,dep,München Hbf,4,17:02,20.06.19,Hannover%238000152,0,ICE
16835, ,,ICE 1742,Hannover Hbf 17:20-Hamburg Hbf 18:36-Hamburg Dammtor 18:42-Hamburg-Altona 18:51,8000152.0,dep,Hamburg-Altona,7,17:20,20.06.19,Hannover%238000152,0,ICE
16838, ,17:28,ICE 1171,Hannover Hbf 17:24-Göttingen 18:16-Kassel-Wilhelmshöhe 18:37-Frankfurt(Main)Hbf 20:00-Mannheim Hbf 20:44-Karlsruhe Hbf 21:09,8000152.0,dep,Karlsruhe Hbf,4,17:24,20.06.19,Hannover%238000152,4,ICE
16841, ,17:35,ICE846,Hannover Hbf 17:31-Bielefeld Hbf 18:24-Dortmund Hbf 19:10-Bochum Hbf 19:23-Essen Hbf 19:34-Duisburg Hbf 19:47-Düsseldorf Flughafen 19:57-Düsseldorf Hbf 20:06-Köln Hbf 20:36,8000152.0,dep,Köln Hbf,12,17:31,20.06.19,Hannover%238000152,4,ICE
16842, Änderung im Fahrtverlauf!@@Grund: Polizeiliche Ermittlung,17:35,ICE651,Hannover Hbf 17:31-Wolfsburg Hbf18:02-Berlin-Spandau 18:54-Berlin Hbf (tief) 19:05-Berlin Gesundbrunnen 19:19Hannover Hbf - Berlin Hbf (tief): Information. Weitere Informationen,8000152.0,dep,Berlin Gesundbrunnen,9,17:31,20.06.19,Hannover%238000152,4,ICE
16865, Grund: Technische Störung am Zug,18:11,ICE586,Hannover Hbf 17:59-Celle 18:18-Uelzen 18:40-Lüneburg 18:57-Hamburg-Harburg 19:16-Hamburg Hbf 19:28-Hamburg Dammtor 19:36-Hamburg-Altona 19:46,8000152.0,dep,Hamburg-Altona,8,17:59,20.06.19,Hannover%238000152,12,ICE
17055, ,,ICE 1171,Hannover Hbf 17:24-Göttingen 18:16-Kassel-Wilhelmshöhe 18:37-Frankfurt(Main)Hbf 20:00-Mannheim Hbf 20:44-Karlsruhe Hbf 21:09,8000152.0,dep,Karlsruhe Hbf,4,17:24,20.06.19,Hannover%238000152,0,ICE
17058, ,17:34,ICE846,Hannover Hbf 17:31-Bielefeld Hbf 18:24-Dortmund Hbf 19:10-Bochum Hbf 19:23-Essen Hbf 19:34-Duisburg Hbf 19:47-Düsseldorf Flughafen 19:57-Düsseldorf Hbf 20:06-Köln Hbf 20:36,8000152.0,dep,Köln Hbf,12,17:31,20.06.19,Hannover%238000152,3,ICE
