,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
29186, Änderung im Fahrtverlauf!@@Grund: Verzögerungen im Betriebsablauf,20:50,ICE 72,Chur 10:39-Landquart 10:49-Sargans 10:58-Zürich HB 12:00-Basel SBB 13:06-Basel Bad Bf 13:15-Freiburg(Breisgau) Hbf 13:49-Offenburg14:18-Baden-Baden 14:34-Karlsruhe Hbf 14:51-Mannheim Hbf 15:16-Frankfurt(Main)Hbf 15:58-Kassel-Wilhelmshöhe 17:21-Göttingen 17:41-Hannover Hbf 18:37-Hamburg Hbf 19:54,8002549.0,arr,Chur,11,19:54,20.06.19,Hamburg%238002549,56,ICE
29392, ,,ICE887,Hamburg Hbf 19:27-Lüneburg 19:56-Uelzen 20:14-Celle 20:36-Hannover Hbf 20:58-Göttingen 22:00-Kassel-Wilhelmshöhe 22:21-Fulda 22:54-Frankfurt(Main)Hbf 23:52-Frankfurt(M) Flughafen Fernbf 00:24-Mainz Hbf 00:44-Wiesbaden Hbf 00:58,8002549.0,dep,Wiesbaden Hbf,14,19:27,20.06.19,Hamburg%238002549,0,ICE
29393, ,,ICE 2918,Hamburg Hbf 19:27-Hamburg Dammtor 19:30-Hamburg-Altona 19:38,8002549.0,dep,Hamburg-Altona,-,19:27,20.06.19,Hamburg%238002549,0,ICE
29404, Grund: Verspätung eines vorausfahrenden Zuges,19:47,ICE993,Hamburg Hbf 19:36-Berlin-Spandau 21:10-Berlin Hbf (tief) 21:22-Berlin Südkreuz 21:33-Lutherstadt Wittenberg Hbf 22:09-Bitterfeld 22:27-Leipzig Hbf 22:47-Erfurt Hbf 23:33-Gotha 23:55-Eisenach 00:10-Frankfurt(Main)Hbf 02:15-Frankfurt(M) Flughafen Fernbf 02:38-Mannheim Hbf 03:26-Stuttgart Hbf 04:44-Ulm Hbf 06:10-Günzburg 06:25-Augsburg Hbf 06:57-München-Pasing 07:21-München Hbf 07:32,8002549.0,dep,München Hbf,5,19:36,20.06.19,Hamburg%238002549,11,ICE
29561, Grund: Technische Störung am Zug,19:59,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:59-Celle 18:20-Uelzen 18:42-Lüneburg 18:59-Hamburg Hbf 19:28,8002549.0,arr,München Hbf,13,19:28,20.06.19,Hamburg%238002549,31,ICE
30132, Grund: Technische Störung am Zug@@Gleiswechsel,19:58,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:59-Celle 18:20-Uelzen 18:42-Lüneburg 18:59-Hamburg Hbf 19:28,8002549.0,arr,München Hbf,14,19:28,20.06.19,Hamburg%238002549,30,ICE
30204, ,,ICE506,München Hbf 12:55-Nürnberg Hbf 14:04-Erlangen 14:19-Bamberg 14:42-Erfurt Hbf 15:28-Leipzig Hbf 16:16-Lutherstadt Wittenberg Hbf 16:48-Berlin Südkreuz 17:24-Berlin Hbf (tief) 17:40-Berlin-Spandau 17:50-Hamburg Hbf 19:24,8002549.0,arr,München Hbf,5,19:24,20.06.19,Hamburg%238002549,0,ICE
30213, Grund: Technische Störung am Zug@@Gleiswechsel,19:59,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:59-Celle 18:20-Uelzen 18:42-Lüneburg 18:59-Hamburg Hbf 19:28,8002549.0,arr,München Hbf,14,19:28,20.06.19,Hamburg%238002549,31,ICE
30368, ,,ICE 2918,München Hbf 12:55-Nürnberg Hbf 14:04-Erlangen 14:19-Bamberg 14:42-Erfurt Hbf 15:28-Leipzig Hbf 16:16-Lutherstadt Wittenberg Hbf 16:48-Berlin Südkreuz 17:24-Berlin Hbf (tief) 17:40-Berlin-Spandau 17:50-Hamburg Hbf 19:24,8002549.0,arr,München Hbf,-,19:24,20.06.19,Hamburg%238002549,0,ICE
30375, ,,ICE586,München Hbf 13:16-Ingolstadt Hbf 13:59-Nürnberg Hbf 14:34-Würzburg Hbf 15:28-Fulda 16:04-Kassel-Wilhelmshöhe 16:36-Göttingen 16:56-Hannover Hbf 17:59-Celle 18:20-Uelzen 18:42-Lüneburg 18:59-Hamburg Hbf 19:28,8002549.0,arr,München Hbf,13,19:28,20.06.19,Hamburg%238002549,0,ICE
