,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
19810, Grund: Technische Störung am Zug,20:02,ICE 1556,Mainz Hbf 19:22-Wiesbaden Hbf 19:33,8000240,dep,Wiesbaden Hbf,2a/b,19:22,20.06.19,Mainz%238000240,40,ICE
20343, Grund: Technische Störung am Zug@@Gleiswechsel,20:00,ICE 1556,Dresden Hbf 14:10-Dresden-Neustadt 14:16-Riesa 14:48-Leipzig Hbf 15:33-Erfurt Hbf 16:17-Gotha 16:33-Eisenach 16:48-Bad Hersfeld 17:16-Fulda 17:43-Frankfurt(Main)Hbf 18:42-Frankfurt(M) Flughafen Fernbf 18:58-Mainz Hbf 19:15,8000240,arr,Dresden Hbf,1b,19:15,20.06.19,Mainz%238000240,45,ICE
20367, Grund: Technische Störung am Zug@@Gleiswechsel,20:02,ICE 1556,Mainz Hbf 19:22-Wiesbaden Hbf 19:33,8000240,dep,Wiesbaden Hbf,1b,19:22,20.06.19,Mainz%238000240,40,ICE
20427, Grund: Technische Störung am Zug@@Gleiswechsel,19:59,ICE 1556,Dresden Hbf 14:10-Dresden-Neustadt 14:16-Riesa 14:48-Leipzig Hbf 15:33-Erfurt Hbf 16:17-Gotha 16:33-Eisenach 16:48-Bad Hersfeld 17:16-Fulda 17:43-Frankfurt(Main)Hbf 18:42-Frankfurt(M) Flughafen Fernbf 18:58-Mainz Hbf 19:15,8000240,arr,Dresden Hbf,1b,19:15,20.06.19,Mainz%238000240,44,ICE
20451, Grund: Technische Störung am Zug@@Gleiswechsel,20:01,ICE 1556,Mainz Hbf 19:22-Wiesbaden Hbf 19:33,8000240,dep,Wiesbaden Hbf,1b,19:22,20.06.19,Mainz%238000240,39,ICE
20511, ,,ICE 1556,Dresden Hbf 14:10-Dresden-Neustadt 14:16-Riesa 14:48-Leipzig Hbf 15:33-Erfurt Hbf 16:17-Gotha 16:33-Eisenach 16:48-Bad Hersfeld 17:16-Fulda 17:43-Frankfurt(Main)Hbf 18:42-Frankfurt(M) Flughafen Fernbf 18:58-Mainz Hbf 19:15,8000240,arr,Dresden Hbf,2a/b,19:15,20.06.19,Mainz%238000240,0,ICE
20661, ,,ICE 1556,Mainz Hbf 19:22-Wiesbaden Hbf 19:33,8000240,dep,Wiesbaden Hbf,2a/b,19:22,20.06.19,Mainz%238000240,0,ICE
21519, ,,ICE 1622,München Hbf 16:18-Ingolstadt Hbf 17:00-Nürnberg Hbf 17:36-Würzburg Hbf 18:30-Hanau Hbf 19:20-Frankfurt(Main)Hbf 19:40-Frankfurt(M) Flughafen Fernbf 19:58-Mainz Hbf 20:18,8000240,arr,München Hbf,3a/b,20:18,20.06.19,Mainz%238000240,0,ICE
21524, ,,ICE 1659,Wiesbaden Hbf 20:26-Mainz Hbf 20:36,8000240,arr,Wiesbaden Hbf,4a/b,20:36,20.06.19,Mainz%238000240,0,ICE
21542, ,20:24,ICE 1622,Mainz Hbf 20:20-Koblenz Hbf 21:11-Bonn Hbf 21:44-Köln Hbf 22:05-Solingen Hbf 22:28-Wuppertal Hbf 22:41-Hagen Hbf 22:59-Dortmund Hbf 23:20,8000240,dep,Dortmund Hbf,3a/b,20:20,20.06.19,Mainz%238000240,4,ICE
21548, ,,ICE 1659,Mainz Hbf 20:43-Frankfurt(M) Flughafen Fernbf 21:00-Frankfurt(Main)Hbf 21:13-Fulda 22:12-Bad Hersfeld 22:39-Eisenach 23:07-Gotha 23:21-Erfurt Hbf 23:38,8000240,dep,Erfurt Hbf,4a/b,20:43,20.06.19,Mainz%238000240,0,ICE
21583, ,,ICE 1622,Mainz Hbf 20:20-Koblenz Hbf 21:11-Bonn Hbf 21:44-Köln Hbf 22:05-Solingen Hbf 22:28-Wuppertal Hbf 22:41-Hagen Hbf 22:59-Dortmund Hbf 23:20,8000240,dep,Dortmund Hbf,3a/b,20:20,20.06.19,Mainz%238000240,0,ICE
21688, ,20:36,ICE 1659,Wiesbaden Hbf 20:26-Mainz Hbf 20:36,8000240,arr,Wiesbaden Hbf,4a/b,20:36,20.06.19,Mainz%238000240,0,ICE
21712, ,20:43,ICE 1659,Mainz Hbf 20:43-Frankfurt(M) Flughafen Fernbf 21:00-Frankfurt(Main)Hbf 21:13-Fulda 22:12-Bad Hersfeld 22:39-Eisenach 23:07-Gotha 23:21-Erfurt Hbf 23:38,8000240,dep,Erfurt Hbf,4a/b,20:43,20.06.19,Mainz%238000240,0,ICE
23924, ,,ICE 1554,Dresden Hbf 16:10-Dresden-Neustadt 16:16-Riesa 16:48-Leipzig Hbf 17:33-Erfurt Hbf 18:17-Gotha 18:33-Eisenach 18:48-Bad Hersfeld 19:16-Fulda 19:43-Frankfurt(Main)Hbf 20:42-Frankfurt(M) Flughafen Fernbf 20:59-Mainz Hbf 21:15,8000240,arr,Dresden Hbf,2a/b,21:15,20.06.19,Mainz%238000240,0,ICE
23944, ,,ICE 1554,Mainz Hbf 21:22-Wiesbaden Hbf 21:33,8000240,dep,Wiesbaden Hbf,2a/b,21:22,20.06.19,Mainz%238000240,0,ICE
25558, ,,ICE 22,Wien Hbf 15:15-Wien Meidling 15:22-St.Pölten Hbf 15:46-Linz Hbf 16:36-Passau Hbf 17:34-Plattling 18:01-Regensburg Hbf 18:32-Nürnberg Hbf 19:30-Würzburg Hbf 20:24-Hanau Hbf 21:16-Frankfurt(Main)Hbf 21:46-Frankfurt(M) Flughafen Fernbf 21:59-Mainz Hbf 22:18,8000240,arr,Wien Hbf,3a/b,22:18,20.06.19,Mainz%238000240,0,ICE
25574, ,,ICE 22,Mainz Hbf 22:20-Koblenz Hbf 23:11-Bonn Hbf 23:44-Köln Hbf 00:05-Düsseldorf Hbf 00:30-Duisburg Hbf 00:44-Essen Hbf 00:56-Bochum Hbf 01:07-Dortmund Hbf 01:21,8000240,dep,Dortmund Hbf,3a/b,22:20,20.06.19,Mainz%238000240,0,ICE
27303, ,23:29,ICE510,München Hbf 19:28-München-Pasing 19:36-Augsburg Hbf 20:03-Ulm Hbf 20:49-Stuttgart Hbf 21:51-Mannheim Hbf 22:37-Frankfurt(M) Flughafen Fernbf 23:13-Mainz Hbf 23:29,8000240,arr,München Hbf,3a/b,23:29,20.06.19,Mainz%238000240,0,ICE
27322, ,23:31,ICE510,Mainz Hbf 23:31-Wiesbaden Hbf 23:44,8000240,dep,Wiesbaden Hbf,3a/b,23:31,20.06.19,Mainz%238000240,0,ICE
27373, ,,ICE510,München Hbf 19:28-München-Pasing 19:36-Augsburg Hbf 20:03-Ulm Hbf 20:49-Stuttgart Hbf 21:51-Mannheim Hbf 22:37-Frankfurt(M) Flughafen Fernbf 23:13-Mainz Hbf 23:29,8000240,arr,München Hbf,3a/b,23:29,20.06.19,Mainz%238000240,0,ICE
27460, ,,ICE510,Mainz Hbf 23:31-Wiesbaden Hbf 23:44,8000240,dep,Wiesbaden Hbf,3a/b,23:31,20.06.19,Mainz%238000240,0,ICE
