,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
3202, ,11:55,ICE517,Köln Hbf 11:55-Siegburg/Bonn 12:08-Frankfurt(M) Flughafen Fernbf 12:49-Mannheim Hbf 13:23-Stuttgart Hbf 14:08-Ulm Hbf 15:10-Augsburg Hbf 15:53-München-Pasing 16:18-München Hbf 16:27,8000207.0,dep,München Hbf,6,11:55,20.06.19,Koeln%238000207,0,ICE
3360, ,,ICE517,Dortmund Hbf 10:35-Bochum Hbf 10:48-Essen Hbf 11:00-Duisburg Hbf 11:13-Düsseldorf Hbf 11:27-Köln Hbf 11:49,8000207.0,arr,Dortmund Hbf,6,11:49,20.06.19,Koeln%238000207,0,ICE
4129, ,12:05,ICE612,München Hbf 07:28-München-Pasing 07:36-Augsburg Hbf 08:03-Ulm Hbf 08:49-Stuttgart Hbf 09:51-Mannheim Hbf 10:36-Frankfurt(M) Flughafen Fernbf 11:09-Köln Hbf 12:05,8000207.0,arr,München Hbf,5,12:05,20.06.19,Koeln%238000207,0,ICE
4139, ,12:20,ICE 15,Bruxelles Midi 10:25-Bruxelles-Nord 10:34-Liège-Guillemins 11:14-Aachen Hbf 11:39-Köln Hbf 12:15,8000207.0,arr,Bruxelles Midi,4 A-C,12:15,20.06.19,Koeln%238000207,5,ICE
4154, Gleiswechsel,12:33,ICE126,Frankfurt(Main)Hbf 11:29-Frankfurt(M) Flughafen Fernbf 11:43-Köln Hbf 12:33,8000207.0,arr,Frankfurt(Main)Hbf,4 D-G,12:33,20.06.19,Koeln%238000207,0,ICE
4184, ,,ICE612,München Hbf 07:28-München-Pasing 07:36-Augsburg Hbf 08:03-Ulm Hbf 08:49-Stuttgart Hbf 09:51-Mannheim Hbf 10:36-Frankfurt(M) Flughafen Fernbf 11:09-Köln Hbf 12:05,8000207.0,arr,München Hbf,5,12:05,20.06.19,Koeln%238000207,0,ICE
4194, Grund: Verspätung im Ausland,12:19,ICE 15,Bruxelles Midi 10:25-Bruxelles-Nord 10:34-Liège-Guillemins 11:14-Aachen Hbf 11:39-Köln Hbf 12:15,8000207.0,arr,Bruxelles Midi,4 A-C,12:15,20.06.19,Koeln%238000207,4,ICE
4300, ,12:11,ICE612,Köln Hbf 12:11-Düsseldorf Hbf 12:31-Duisburg Hbf 12:45-Essen Hbf 12:57-Bochum Hbf 13:08-Dortmund Hbf 13:21,8000207.0,dep,Dortmund Hbf,5,12:11,20.06.19,Koeln%238000207,0,ICE
4305, Grund: Verspätung im Ausland,12:22,ICE 15,Köln Hbf 12:18-Köln/Bonn Flughafen 12:29-Frankfurt(M) Flughafen Fernbf 13:16-Frankfurt(Main)Hbf 13:31,8000207.0,dep,Frankfurt(Main)Hbf,4 A-C,12:18,20.06.19,Koeln%238000207,4,ICE
4323, Gleiswechsel,12:41,ICE126,Köln Hbf 12:41-Düsseldorf Hbf 13:06-Duisburg Hbf 13:22-Oberhausen Hbf 13:32-Arnhem Centraal 14:28-Utrecht Centraal 15:01-Amsterdam Centraal 15:28,8000207.0,dep,Amsterdam Centraal,4 D-G,12:41,20.06.19,Koeln%238000207,0,ICE
4331, ,,ICE559,Köln Hbf 12:48-Wuppertal Hbf 13:14-Hamm(Westf) 14:00-Bielefeld Hbf 14:32-Hannover Hbf 15:28-Berlin-Spandau 16:54-Berlin Hbf (tief) 17:06-Berlin Gesundbrunnen 17:18,8000207.0,dep,Berlin Gesundbrunnen,2,12:48,20.06.19,Koeln%238000207,0,ICE
4337, ,,ICE107,Köln Hbf 12:55-Siegburg/Bonn 13:08-Frankfurt(M) Flughafen Fernbf 13:49-Mannheim Hbf 14:23-Karlsruhe Hbf 14:56-Offenburg 15:27-Freiburg(Breisgau) Hbf 15:59-Basel Bad Bf 16:34-Basel SBB 16:47,8000207.0,dep,Basel SBB,6,12:55,20.06.19,Koeln%238000207,0,ICE
4576, Grund: Verspätung im Ausland,12:18,ICE 15,Bruxelles Midi 10:25-Bruxelles-Nord 10:34-Liège-Guillemins 11:14-Aachen Hbf 11:39-Köln Hbf 12:15,8000207.0,arr,Bruxelles Midi,4 A-C,12:15,20.06.19,Koeln%238000207,3,ICE
4682, ,,ICE612,Köln Hbf 12:11-Düsseldorf Hbf 12:31-Duisburg Hbf 12:45-Essen Hbf 12:57-Bochum Hbf 13:08-Dortmund Hbf 13:21,8000207.0,dep,Dortmund Hbf,5,12:11,20.06.19,Koeln%238000207,0,ICE
4903, Grund: Verspätung im Ausland@@Gleiswechsel,12:18,ICE 15,Bruxelles Midi 10:25-Bruxelles-Nord 10:34-Liège-Guillemins 11:14-Aachen Hbf 11:39-Köln Hbf 12:15,8000207.0,arr,Bruxelles Midi,5,12:15,20.06.19,Koeln%238000207,3,ICE
5013, Grund: Verspätung im Ausland@@Gleiswechsel,12:20,ICE 15,Bruxelles Midi 10:25-Bruxelles-Nord 10:34-Liège-Guillemins 11:14-Aachen Hbf 11:39-Köln Hbf 12:15,8000207.0,arr,Bruxelles Midi,5,12:15,20.06.19,Koeln%238000207,5,ICE
5123, ,,ICE 15,Bruxelles Midi 10:25-Bruxelles-Nord 10:34-Liège-Guillemins 11:14-Aachen Hbf 11:39-Köln Hbf 12:15,8000207.0,arr,Bruxelles Midi,4 A-C,12:15,20.06.19,Koeln%238000207,0,ICE
5399, ,,ICE 15,Köln Hbf 12:18-Köln/Bonn Flughafen 12:29-Frankfurt(M) Flughafen Fernbf 13:16-Frankfurt(Main)Hbf 13:31,8000207.0,dep,Frankfurt(Main)Hbf,4 A-C,12:18,20.06.19,Koeln%238000207,0,ICE
5465, Gleiswechsel,12:35,ICE126,Frankfurt(Main)Hbf 11:29-Frankfurt(M) Flughafen Fernbf 11:43-Köln Hbf 12:33,8000207.0,arr,Frankfurt(Main)Hbf,4 D-G,12:33,20.06.19,Koeln%238000207,2,ICE
5850, ,,ICE126,Frankfurt(Main)Hbf 11:29-Frankfurt(M) Flughafen Fernbf 11:43-Köln Hbf 12:33,8000207.0,arr,Frankfurt(Main)Hbf,4 A-C,12:33,20.06.19,Koeln%238000207,0,ICE
6459, ,,ICE126,Köln Hbf 12:41-Düsseldorf Hbf 13:06-Duisburg Hbf 13:22-Oberhausen Hbf 13:32-Arnhem Centraal 14:28-Utrecht Centraal 15:01-Amsterdam Centraal 15:28,8000207.0,dep,Amsterdam Centraal,4,12:41,20.06.19,Koeln%238000207,0,ICE
7627, Grund: Notarzteinsatz am Gleis,15:09,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,124,ICE
7632, Grund: Verspätung eines vorausfahrenden Zuges,13:13,ICE652,Berlin Gesundbrunnen 08:35-Berlin Hbf (tief) 08:50-Berlin-Spandau 09:02-Hannover Hbf 10:31-Bielefeld Hbf 11:26-Hamm(Westf) 11:56-Wuppertal Hbf 12:40-Köln Hbf 13:09,8000207.0,arr,Berlin Gesundbrunnen,8,13:09,20.06.19,Koeln%238000207,4,ICE
7639, ,13:15,ICE123,Amsterdam Centraal 10:38-Utrecht Centraal 11:07-Arnhem Centraal 11:37-Oberhausen Hbf 12:26-Duisburg Hbf 12:34-Düsseldorf Hbf 12:48-Köln Hbf 13:15,8000207.0,arr,Amsterdam Centraal,6,13:15,20.06.19,Koeln%238000207,0,ICE
7654, ,13:37,ICE210,Frankfurt(Main)Hbf 12:29-Frankfurt(M) Flughafen Fernbf 12:43-Köln Hbf 13:33,8000207.0,arr,Frankfurt(Main)Hbf,6 D-G,13:33,20.06.19,Koeln%238000207,4,ICE
7667, Grund: Verspätung eines vorausfahrenden Zuges,13:49,ICE925,Hamburg-Altona 09:30-Hamburg Dammtor 09:38-Hamburg Hbf 09:46-Hamburg-Harburg 09:57-Bremen Hbf 10:44-Osnabrück Hbf 11:37-Münster(Westf)Hbf 12:02-Hamm(Westf) 12:22-Hagen Hbf 12:57-Wuppertal Hbf 13:14-Solingen Hbf 13:28-Köln Hbf 13:46,8000207.0,arr,Hamburg-Altona,7,13:46,20.06.19,Koeln%238000207,3,ICE
7669, Grund: Türstörung,13:54,ICE 1109,Dortmund Hbf 12:35-Bochum Hbf 12:48-Essen Hbf 13:00-Duisburg Hbf 13:13-Düsseldorf Hbf 13:27-Köln Hbf 13:49,8000207.0,arr,Dortmund Hbf,6,13:49,20.06.19,Koeln%238000207,5,ICE
7683, Grund: Notarzteinsatz am Gleis,15:08,ICE200,Basel SBB 09:13-Basel Bad Bf 09:23-Freiburg(Breisgau) Hbf 09:56-Offenburg 10:29-Karlsruhe Hbf 10:59-Mannheim Hbf 11:35-Frankfurt(M) Flughafen Fernbf 12:09-Siegburg/Bonn 12:47-Köln Hbf 13:05,8000207.0,arr,Basel SBB,4,13:05,20.06.19,Koeln%238000207,123,ICE
7710, ,13:35,ICE210,Frankfurt(Main)Hbf 12:29-Frankfurt(M) Flughafen Fernbf 12:43-Köln Hbf 13:33,8000207.0,arr,Frankfurt(Main)Hbf,6 D-G,13:33,20.06.19,Koeln%238000207,2,ICE
