,TAA,TA,TIN,TIR,TSI,TIM,TIRE,TIP,TIT,TID,TSC,TAc,Type
28566, Fährt heute erst ab Karlsruhe Hbf@@Grund: Signalstörung,20:53,ICE278,Interlaken Ost (Halt entfällt) 10:00-Interlaken West (Halt entfällt) 10:05-Spiez (Halt entfällt) 10:22-Thun (Halt entfällt) 10:33-Bern (Halt entfällt) 11:04-Olten (Halt entfällt) 11:32-Liestal (Halt entfällt) 11:48-Basel SBB (Halt entfällt) 12:13-Basel Bad Bf (Halt entfällt) 12:23-Freiburg(Breisgau) Hbf (Halt entfällt) 12:57-Offenburg (Halt entfällt) 13:30-Karlsruhe Hbf 14:00-Mannheim Hbf 14:32-Frankfurt(Main)Hbf 15:14-Hanau Hbf 15:30-Fulda 16:12-Kassel-Wilhelmshöhe 16:45-Göttingen 17:04-Hildesheim Hbf 18:06-Braunschweig Hbf 18:29-Wolfsburg Hbf 18:48-Berlin Hbf 19:59,8011160.0,arr,Interlaken Ost,11,19:59,20.06.19,Berlin%238011160,54,ICE
28696, Fährt heute erst ab Karlsruhe Hbf@@Grund: Signalstörung,20:55,ICE278,Interlaken Ost (Halt entfällt) 10:00-Interlaken West (Halt entfällt) 10:05-Spiez (Halt entfällt) 10:22-Thun (Halt entfällt) 10:33-Bern (Halt entfällt) 11:04-Olten (Halt entfällt) 11:32-Liestal (Halt entfällt) 11:48-Basel SBB (Halt entfällt) 12:13-Basel Bad Bf (Halt entfällt) 12:23-Freiburg(Breisgau) Hbf (Halt entfällt) 12:57-Offenburg (Halt entfällt) 13:30-Karlsruhe Hbf 14:00-Mannheim Hbf 14:32-Frankfurt(Main)Hbf 15:14-Hanau Hbf 15:30-Fulda 16:12-Kassel-Wilhelmshöhe 16:45-Göttingen 17:04-Hildesheim Hbf 18:06-Braunschweig Hbf 18:29-Wolfsburg Hbf 18:48-Berlin Hbf 19:59,8011160.0,arr,Interlaken Ost,11,19:59,20.06.19,Berlin%238011160,56,ICE
28761, Fährt heute erst ab Karlsruhe Hbf@@Grund: Signalstörung,20:54,ICE278,Interlaken Ost (Halt entfällt) 10:00-Interlaken West (Halt entfällt) 10:05-Spiez (Halt entfällt) 10:22-Thun (Halt entfällt) 10:33-Bern (Halt entfällt) 11:04-Olten (Halt entfällt) 11:32-Liestal (Halt entfällt) 11:48-Basel SBB (Halt entfällt) 12:13-Basel Bad Bf (Halt entfällt) 12:23-Freiburg(Breisgau) Hbf (Halt entfällt) 12:57-Offenburg (Halt entfällt) 13:30-Karlsruhe Hbf 14:00-Mannheim Hbf 14:32-Frankfurt(Main)Hbf 15:14-Hanau Hbf 15:30-Fulda 16:12-Kassel-Wilhelmshöhe 16:45-Göttingen 17:04-Hildesheim Hbf 18:06-Braunschweig Hbf 18:29-Wolfsburg Hbf 18:48-Berlin Hbf 19:59,8011160.0,arr,Interlaken Ost,11,19:59,20.06.19,Berlin%238011160,55,ICE
29274, Änderung im Fahrtverlauf!@@Grund: Technische Störung am Zug,20:20,ICE 1002,München Hbf 15:56-Nürnberg Hbf 17:01-Bamberg17:32-Erfurt Hbf 18:11-Bitterfeld18:58-Berlin Hbf (tief) 19:51,8011160.0,arr,München Hbf,5Berlin Hbf (tief),19:51,20.06.19,Berlin%238011160,29,ICE
29390, Ersatzfahrt für ICE  504,,ICE 2916,Berlin Hbf (tief) 19:40-Berlin-Spandau 19:48-Hamburg Hbf 21:24-Hamburg Dammtor 21:31-Hamburg-Altona 21:40,8011160.0,dep,Hamburg-Altona,7Berlin Hbf (tief),19:40,20.06.19,Berlin%238011160,0,ICE
29400, ,,ICE842,Berlin Hbf (tief) 19:49-Wolfsburg Hbf 20:52-Hannover Hbf 21:28-Bielefeld Hbf 22:24-Hamm(Westf) 22:54-Dortmund Hbf 23:15-Bochum Hbf 23:29-Essen Hbf 23:40-Duisburg Hbf 23:54-Düsseldorf Flughafen 00:04-Düsseldorf Hbf 00:13-Köln Hbf 00:37,8011160.0,dep,Köln Hbf,6Berlin Hbf (tief),19:49,20.06.19,Berlin%238011160,0,ICE
30247, Fährt heute erst ab Karlsruhe Hbf@@Grund: Signalstörung,20:51,ICE278,Interlaken Ost (Halt entfällt) 10:00-Interlaken West (Halt entfällt) 10:05-Spiez (Halt entfällt) 10:22-Thun (Halt entfällt) 10:33-Bern (Halt entfällt) 11:04-Olten (Halt entfällt) 11:32-Liestal (Halt entfällt) 11:48-Basel SBB (Halt entfällt) 12:13-Basel Bad Bf (Halt entfällt) 12:23-Freiburg(Breisgau) Hbf (Halt entfällt) 12:57-Offenburg (Halt entfällt) 13:30-Karlsruhe Hbf 14:00-Mannheim Hbf 14:32-Frankfurt(Main)Hbf 15:14-Hanau Hbf 15:30-Fulda 16:12-Kassel-Wilhelmshöhe 16:45-Göttingen 17:04-Hildesheim Hbf 18:06-Braunschweig Hbf 18:29-Wolfsburg Hbf 18:48-Berlin Hbf 19:59,8011160.0,arr,Interlaken Ost,11,19:59,20.06.19,Berlin%238011160,52,ICE
30305, ,,ICE 1002,München Hbf 15:56-Nürnberg Hbf 17:01-Bamberg17:32-Erfurt Hbf 18:11-Bitterfeld18:58-Berlin Hbf (tief) 19:51,8011160.0,arr,München Hbf,5Berlin Hbf (tief),19:51,20.06.19,Berlin%238011160,0,ICE
30452, ,,ICE943,Düsseldorf Hbf 15:51-Düsseldorf Flughafen 15:59-Duisburg Hbf 16:09-Essen Hbf 16:23-Bochum Hbf 16:35-Dortmund Hbf 16:48-Bielefeld Hbf 17:34-Hannover Hbf 18:31-Wolfsburg Hbf 19:05-Berlin Hbf (tief) 20:10,8011160.0,arr,Düsseldorf Hbf,5Berlin Hbf (tief),20:10,20.06.19,Berlin%238011160,0,ICE
30464, Grund: Verzögerungen im Betriebsablauf,20:26,ICE 1607,Hamburg-Altona 18:19-Hamburg Dammtor 18:28-Hamburg Hbf 18:35-Berlin-Spandau 20:10-Berlin Hbf (tief) 20:20,8011160.0,arr,Hamburg-Altona,2Berlin Hbf (tief),20:20,20.06.19,Berlin%238011160,6,ICE
